dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,55,60,53,RandomForest,No FS,OverSampling,196.0,48.0,157.0,38.0,0.8457264957264957,0.6052901202300052,0.8032786885245902,0.8376068376068376
BOOKKEEPER,2,55,60,53,IBK,No FS,OverSampling,194.0,69.0,136.0,40.0,0.768125912028351,0.49682961965951283,0.7376425855513308,0.8290598290598291
BOOKKEEPER,2,55,60,53,NaiveBayes,No FS,Smote,150.0,30.0,175.0,84.0,0.8305086512403586,0.4867392775829181,0.8333333333333334,0.6410256410256411
BOOKKEEPER,2,55,60,53,RandomForest,No FS,Smote,191.0,44.0,161.0,43.0,0.8498853450072962,0.6017870734326615,0.8127659574468085,0.8162393162393162
BOOKKEEPER,2,55,60,53,IBK,No FS,Smote,198.0,69.0,136.0,36.0,0.8064311027725661,0.5147026309971259,0.7415730337078652,0.8461538461538461
BOOKKEEPER,2,55,60,53,NaiveBayes,BF,No Sampling,290.0,56.0,354.0,178.0,0.8278872211799041,0.4743268276207925,0.838150289017341,0.6196581196581197
BOOKKEEPER,2,55,60,53,RandomForest,BF,No Sampling,348.0,86.0,324.0,120.0,0.8000677506775068,0.5311044974230813,0.8018433179723502,0.7435897435897436
BOOKKEEPER,2,55,60,53,IBK,BF,No Sampling,351.0,98.0,312.0,117.0,0.8061079841567647,0.5095125005846252,0.7817371937639198,0.75
BOOKKEEPER,2,55,60,53,NaiveBayes,BF,UnderSampling,142.0,27.0,178.0,92.0,0.8446424848863874,0.46597495527728094,0.8402366863905325,0.6068376068376068
BOOKKEEPER,2,55,60,53,RandomForest,BF,UnderSampling,193.0,47.0,158.0,41.0,0.8656868876381072,0.596600045945325,0.8041666666666667,0.8247863247863247
BOOKKEEPER,2,55,60,53,IBK,BF,UnderSampling,192.0,69.0,136.0,42.0,0.7961017302480717,0.48790945490084814,0.735632183908046,0.8205128205128205
BOOKKEEPER,2,55,60,53,NaiveBayes,BF,OverSampling,142.0,27.0,178.0,92.0,0.8458411507191995,0.46597495527728094,0.8402366863905325,0.6068376068376068
BOOKKEEPER,2,55,60,53,RandomForest,BF,OverSampling,197.0,61.0,144.0,37.0,0.8642276422764228,0.5482970055856536,0.7635658914728682,0.8418803418803419
BOOKKEEPER,2,55,60,53,IBK,BF,OverSampling,192.0,68.0,137.0,42.0,0.7654575776526996,0.4926774945895406,0.7384615384615385,0.8205128205128205
BOOKKEEPER,2,55,60,53,NaiveBayes,BF,Smote,150.0,30.0,175.0,84.0,0.8419741505107359,0.4867392775829181,0.8333333333333334,0.6410256410256411
BOOKKEEPER,2,55,60,53,RandomForest,BF,Smote,189.0,53.0,152.0,45.0,0.8674275588909736,0.5504868976470096,0.78099173553719,0.8076923076923077
BOOKKEEPER,2,55,60,53,IBK,BF,Smote,202.0,70.0,135.0,32.0,0.8170106316447779,0.5278474872941226,0.7426470588235294,0.8632478632478633
BOOKKEEPER,3,69,57,27,NaiveBayes,No FS,No Sampling,80.0,81.0,237.0,42.0,0.8195819156614084,0.3650570181613403,0.4968944099378882,0.6557377049180327
BOOKKEEPER,3,69,57,27,RandomForest,No FS,No Sampling,122.0,132.0,186.0,0.0,0.8798845241777503,0.4386453259104615,0.48031496062992124,1.0
BOOKKEEPER,3,69,57,27,IBK,No FS,No Sampling,122.0,136.0,182.0,0.0,0.8744973708629755,0.425984191543243,0.4728682170542636,1.0
