% 1. Title: Bookkeeper
% 
% 2. Sources:
%      (a) Domenico Verde
% 
@RELATION bookkeeper

@ATTRIBUTE version  string
@ATTRIBUTE filename string
@ATTRIBUTE loc numeric
@ATTRIBUTE age numeric
@ATTRIBUTE num-revisions numeric
@ATTRIBUTE changeset numeric
@ATTRIBUTE avg-changeset numeric
@ATTRIBUTE max-changeset numeric
@ATTRIBUTE num-authors numeric
@ATTRIBUTE loc-added numeric
@ATTRIBUTE avg-loc-added numeric
@ATTRIBUTE buggyness {yes, no}


@DATA
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,88,258.85714285714283,6,2514,419.0,694,4,92,15.333333333333334,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,80,258.85714285714283,2,1061,530.5,669,2,74,37.0,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,54,258.85714285714283,3,1323,441.0,610,3,50,16.666666666666668,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,66,258.85714285714283,4,1734,433.5,640,4,81,20.25,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,76,258.85714285714283,5,1628,325.6,609,4,94,18.8,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,186,258.85714285714283,10,2265,226.5,638,5,477,47.7,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,59,258.85714285714283,2,1061,530.5,669,2,53,26.5,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,456,258.85714285714283,21,3593,171.0952380952381,591,6,977,46.523809523809526,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,45,258.85714285714283,4,1576,394.0,636,3,83,20.75,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,84,258.85714285714283,9,2752,305.77777777777777,647,5,150,16.666666666666668,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,70,258.85714285714283,11,2937,267.0,642,5,218,19.818181818181817,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,37,73.57142857142857,3,1153,384.3333333333333,467,3,32,10.666666666666666,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,63,258.85714285714283,3,1276,425.3333333333333,612,3,61,20.333333333333332,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,110,258.85714285714283,6,2123,353.8333333333333,660,4,133,22.166666666666668,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/yesFilter.java,38,73.57142857142857,3,1160,386.6666666666667,467,2,33,11.0,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,232,66.85714285714286,4,1189,297.25,431,3,279,69.75,no
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,193,258.85714285714283,9,2906,322.8888888888889,723,5,362,40.22222222222222,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,81,258.85714285714283,6,2537,422.8333333333333,723,4,113,18.833333333333332,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,34,258.85714285714283,2,1061,530.5,669,2,28,14.0,no
