Version;Filename;LOC;Age;Num. Revisions;ChangeSet;Average ChangeSet;MAX ChangeSet;Number of Authors;LOC Added;Average Loc Added;Buggyness
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java;556;413.14285714285717;74;14998;202.67567567567568;3196;22;678;9.162162162162161;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java;164;421.14285714285717;18;10552;586.2222222222222;3196;10;89;4.944444444444445;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;542;422.2857142857143;26;9890;380.38461538461536;3155;11;714;27.46153846153846;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java;85;278.0;3;1325;441.6666666666667;723;2;80;26.666666666666668;false
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java;718;371.57142857142856;37;11026;298.0;3155;12;1005;27.16216216216216;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java;66;278.0;3;2104;701.3333333333334;894;2;60;20.0;false
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;139;435.57142857142856;22;10727;487.59090909090907;3193;11;200;9.090909090909092;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java;119;384.85714285714283;23;11522;500.95652173913044;3193;12;77;3.347826086956522;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java;59;384.85714285714283;5;7729;1545.8;3280;3;7;1.4;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;157;422.2857142857143;13;10033;771.7692307692307;3155;8;80;6.153846153846154;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java;98;367.57142857142856;25;11947;477.88;3155;13;64;2.56;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;153;329.7142857142857;3;1380;460.0;762;3;148;49.333333333333336;false
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;132;359.42857142857144;12;6565;547.0833333333334;1730;6;175;14.583333333333334;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;255;421.7142857142857;31;12018;387.6774193548387;3147;15;246;7.935483870967742;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;416;435.57142857142856;98;15890;162.14285714285714;3193;22;1496;15.26530612244898;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;720;436.57142857142856;91;15456;169.84615384615384;3195;23;1367;15.021978021978022;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;210;432.14285714285717;37;12315;332.8378378378378;3163;18;711;19.216216216216218;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;56;355.85714285714283;5;3661;732.2;1295;4;68;13.6;false
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;190;355.85714285714283;15;4915;327.6666666666667;1231;9;343;22.866666666666667;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;67;433.42857142857144;12;10119;843.25;3193;8;78;6.5;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;173;407.57142857142856;39;12548;321.7435897435897;2979;12;274;7.0256410256410255;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;86;398.57142857142856;16;10522;657.625;2872;8;62;3.875;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;89;348.57142857142856;13;5070;390.0;983;8;106;8.153846153846153;false
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;553;445.0;135;16566;122.71111111111111;3199;26;2677;19.82962962962963;true
4.1.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;204;400.57142857142856;65;12834;197.44615384615383;2915;15;1389;21.369230769230768;true
